,Wilayah,Jumlah,Meninggal,Hilang,Terluka,Menderita,Mengungsi,Rumah,Pendidikan,Kesehatan,Peribadatan,Fasum,Perkantoran,Jembatan,Pabrik,Kios,Jenis Bencana,Tahun,id
0,Aceh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,965296290817350667
1,Sumatera Utara,15,0,0,0,12953,35,786,3,0,0,0,0,0,0,0,Banjir,2022,-5012597784366052939
2,Jambi,2,0,0,0,706,26,0,0,0,0,0,0,1,0,0,Banjir,2022,-2573799787119279078
3,Sumatera Selatan,77,2,0,0,6410,2411,38,5,0,2,4,1,7,0,4,Banjir,2022,-4972038994265330442
4,Bengkulu,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,-8399012595624539573
5,Lampung,54,0,0,1,2680,202,128,6,0,1,5,0,14,0,0,Banjir,2022,7537693956154610844
6,Bangka Belitung,10,0,0,0,1340,792,200,0,0,0,0,0,0,0,0,Banjir,2022,-2359134654021320575
7,Jawa Barat,38,0,0,3,24708,344,8,1,0,0,8,0,0,0,0,Banjir,2022,722980278911037830
8,Jawa Tengah,212,2,0,0,1802,1847,741,8,0,0,0,1,14,0,0,Banjir,2022,7446143291086115666
9,Jawa Timur,66,2,0,5,23890,1280,9,3,0,0,0,0,5,0,0,Banjir,2022,-3414457621806864761
10,Nusa Tenggara Barat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,953297839778525060
11,Kalimantan Barat,2,0,0,0,192,0,192,2,1,3,0,1,0,0,0,Banjir,2022,3366490121616652003
12,Kalimantan Tengah,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,-1403218865989130249
13,Kalimantan Selatan,5,0,0,0,2835,502,0,0,0,0,0,0,0,0,0,Banjir,2022,4909579031115241666
14,Kalimantan Timur,8,0,0,0,6092,0,0,0,0,0,0,0,0,0,0,Banjir,2022,4949880340093342585
15,Kalimantan Utara,7,0,0,0,0,342,1034,0,0,0,0,0,0,0,0,Banjir,2022,-1510091166874307761
16,Sulawesi Utara,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Banjir,2022,3594085282461379605
17,Sulawesi Tengah,47,1,0,1,0,1214,440,4,0,0,53,1,3,0,0,Banjir,2022,2085974569948394034
18,Sulawesi Selatan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Banjir,2022,-3359730024927530517
19,Sulawesi Tenggara,19,0,0,0,5,81,10,0,0,0,0,0,0,0,0,Banjir,2022,-4643677405469335090
20,Papua,6,0,0,0,0,386,331,0,0,1,1,0,0,0,0,Banjir,2022,2768423961275414617
